ind	sire	dam
DDUWFDM10025302	NA	NA
DDUWFDM10025004	NA	NA
DDUCBSW10000402	NA	NA
DDUISGE10002912	NA	NA
DDUWFDM10022101	NA	NA
DDUSACS11004606	NA	NA
DDUCBSM10041704	NA	NA
DDUSWFD09000602	NA	NA
DDUSACS13013606	NA	NA
DDUSAIS11010203	NA	NA
DDUWFDM10025301	NA	NA
DDUCBSW09005304	NA	NA
DDUWFDM10023102	NA	NA
DDUCBSW09005208	NA	NA
DDUSACS10009904	NA	NA
DDUSACS11010204	NA	NA
DDUSACS14014109	NA	NA
DDUSACR10001404	NA	NA
DDSHXX113077901	NA	NA
DDUCBSW08008104	NA	NA
DDUSWFD10007401	NA	NA
DDUWFDM10025303	NA	NA
DDUSACS10010607	NA	NA
DDUSWFD08009002	NA	NA
DDUWFDM10024402	NA	NA
DDUWFDM10030301	NA	NA
DDUSACS12017704	NA	NA
DDUCRSH09000203	NA	NA
DDUSWFD09000601	NA	NA
DDUSRWG09002301	NA	NA
DDUSACS12014806	NA	NA
DDUSSDF09000604	NA	NA
DDJXXX111007336	NA	NA
DDGDFC114162103	NA	NA
DDGDFC114133002	NA	NA
DDUSWFD10000501	NA	NA
DDGDFC114187504	NA	NA
DDUSNBD10004001	NA	NA
DDJXXX113008001	NA	NA
DDJXXX113003524	NA	NA
DDUSACR10023604	NA	NA
DDSHXX113097401	NA	NA
DDUCBSW09005302	NA	NA
DDUSWFD10019101	NA	NA
DDUSACR07014902	NA	NA
DDUSACS10002702	NA	NA
DDUSWFD09019201	NA	NA
DDUSWFD08012501	NA	NA
DDSHXX112030701	NA	NA
DDUSWFD10004403	NA	NA
DDJXXX114007352	NA	NA
DDUSWFD07001301	NA	NA
DDUSWWU09002310	NA	NA
DDUSWFD10012302	NA	NA
DDUSWFD09012302	NA	NA
DDUWFDM09020401	NA	NA
DDUSSDH11020704	NA	NA
DDUSWFD09002502	NA	NA
DDUSWFD08010902	NA	NA
DDJXXX113007563	NA	NA
DDUWFDM09022601	NA	NA
DDUSACR10001601	NA	NA
DDUWFDM09024801	NA	NA
DDUWFDM09023801	NA	NA
DDUSWFD08006601	NA	NA
DDJXXX113003254	NA	NA
DDUSWFD09017105	NA	NA
DDUSWFD09000804	NA	NA
DDUSWFD08004802	NA	NA
DDUWFDM10024703	NA	NA
DDUSACR05005701	NA	NA
DDUSACR10087003	NA	NA
DDUSWFD08010602	NA	NA
DDUWFDM11021201	NA	NA
DDJXXX115009513	NA	NA
DDSHXX112050705	NA	NA
DDSHXX113032007	NA	NA
DDUSWFD09003107	NA	NA
DDUSWFD09001705	NA	NA
DDUCBSW10000907	NA	NA
DDUCBSW10008106	NA	NA
DDUWFDM10026204	NA	NA
DDUSACS10007401	NA	NA
DDUCBSW10006603	NA	NA
DDUSWFD09011706	NA	NA
DDUSACS13010207	NA	NA
DDUWFDM10027006	NA	NA
DDUSACS12038905	NA	NA
DDUWFDM10022605	NA	NA
DDUWFDM10025306	NA	NA
DDUCBSW09002705	NA	NA
DDUSACS10008301	NA	NA
DDUSACS13011402	NA	NA
DDUSACS12041406	NA	NA
DDUSACS15007502	NA	NA
DDUSWFD10008208	NA	NA
DDUSWFD10010303	NA	NA
DDUSACR09005407	NA	NA
DDUSACS10001703	NA	NA
