id	parity	herd	ys	sex	dam	bw	day115	adg115	bf115	lma115	lean115
DDSHXX516152104	3	14	162	2	DDSHXX514087114	2.4	181.04	621.96	9.56	44.25	57.75
DDSHXX517107107	1	12	171	1	DDSHXX516120104	1.45	177.54	639.57	10.69	48.58	59.06
DDSHXX516270602	5	15	163	2	DDSHXX514046608	1.85	178	635.67	11.46	45.86	57.72
DDSHXX516263405	1	13	163	1	DDSHXX515270002	1.9	170.87	661.91	9.62	46.35	58.56
DDSHXX517191003	1	13	172	1	DDSHXX516181302	1.75	181.51	623.93	11.28	43.49	56.85
DDSHXX516172608	4	12	162	2	DDSHXX514042006	1.4	165.23	687.53	12.61	44.82	56.91
DDSHXX518176014	3	16	182	2	DDSHXX516187408	1.7	186.55	607.34	10.09	42.28	56.79
DDSHXX514086908	2	14	142	2	DDUSWFD13021907	1.86	172.84	654.59	10.8	41.68	56.31
DDSHXX516255605	4	13	163	1	DDSHXX514113602	2.1	186.68	604.78	11.05	39.18	55.24
DDSHXX514106806	3	18	143	2	DDUSWFD13021206	1.18	182.6	623.33	12.8	50.81	59.2
DDSHXX516072904	2	12	161	2	DDSHXX514150408	1.88	180.63	626.25	14.21	48.24	57.7
DDSHXX516125210	6	17	162	2	DDUSWFD13002408	1.15	199.19	571.56	13.48	47.46	57.64
DDSHXX517196302	1	13	172	2	DDSHXX516152108	1.7	210.74	537.63	10.1	39.14	55.56
DDSHXX617102704	3	9	171	2	DDSHXX515175608	1.9	204.45	553.19	10.93	48.56	58.97
DDSHXX517186305	1	14	172	1	DDSHXX516170804	1.75	208.32	543.63	11.11	37.96	54.74
DDSHXX517305911	5	13	174	1	DDSHXX515110906	1.55	180.39	628.92	10.53	48.54	59.1
DDSHXX518081702	3	14	181	2	DDSHXX516163802	1.4	184.04	617.26	13.41	41.83	55.46
DDSHXX516079704	1	12	161	2	DDSHXX515098604	1.64	170.06	666.59	8.92	44.62	58.12
DDSHXX518150310	2	18	182	2	DDSHXX517018610	1.65	211.38	536.24	11.27	47.98	58.62
DDSHXX518074307	1	14	181	1	DDSHXX517090002	1.1	186.72	610	13.35	40.97	55.14
DDSHXX516098110	1	18	161	2	DDSHXX515104304	1.64	175.93	644.35	17.94	56.67	59.7
DDSHXX516095408	2	18	161	2	DDSHXX514150406	1.52	195.83	579.48	12.01	57.33	62.03
DDSHXX617108704	1	8	171	2	DDSHXX416030504	1.7	181.62	623.83	12.15	46.04	57.55
DDSHXX515268101	1	18	154	1	DDSHXX514181208	1.48	179.84	631.23	11	40.78	55.89
DDSHXX514054105	2	18	141	1	DDUSWFD13003806	1.32	179.24	634.23	12.62	43.34	56.33
DDSHXX518225304	2	13	183	2	DDSHXX517102404	1.75	195.58	579.05	10.03	44.96	57.87
DDSHXX518045002	2	18	184	2	DDSHXX516187408	1.6	187.37	605.22	14.17	43.12	55.7
DDSHXX518044303	1	18	184	1	DDSHXX517047004	1.45	200.94	565.09	15.46	39.2	53.71
DDSHXX517171504	1	17	172	2	DDSHXX516181304	1.4	214.16	530.44	6.18	35.07	55.33
DDSHXX618084803	1	5	181	1	DDSHXX417052506	1.6	175	648	11.78	44.98	57.26
DDSHXX516116912	4	16	161	2	DDSHXX513026010	2	182.54	619.04	12.49	41.76	55.75
DDSHXX516064107	6	13	161	1	DDUSWFD13000906	0.8	180.6	632.34	10.94	45	57.57
DDSHXX515217106	1	14	153	2	DDSHXX514108206	1.24	175.29	648.98	18.18	46.17	55.49
DDSHXX516072903	2	12	161	1	DDSHXX514150408	1.32	160.11	710.01	13.52	53.33	59.94
DDSHXX516219706	1	16	163	2	DDSHXX515236302	2	210.6	536.56	11.69	45.15	57.36
DDSHXX516019707	2	16	164	1	DDSHXX514101302	1.6	195.13	581.15	9.95	42.25	56.83
DDSHXX517182712	1	14	172	2	DDSHXX516141602	1.85	223.37	506.56	13.05	49.58	58.63
DDSHXX517097703	4	15	171	1	DDSHXX515041508	2.25	149.39	754.74	17.64	44.94	55.2
DDSHXX515078407	2	9	151	1	DDSHXX513024706	2.3	188.98	596.36	12.34	34.62	53
DDSHXX516085209	4	11	161	1	DDSHXX513002604	2.08	176.42	640.06	11.44	58.78	62.8
DDSHXX517250604	4	18	173	2	DDSHXX515175206	1.6	188.91	600.29	11.54	40.93	55.76
DDSHXX516295510	2	12	164	2	DDSHXX515142806	1.55	191.8	591.5	13.05	51.55	59.4
DDSHXX517118307	1	11	171	1	DDSHXX516126204	1.3	158.77	716.13	11.53	48.85	58.87
DDSHXX518188807	2	14	182	1	DDSHXX517018606	1.85	192.88	586.63	9.43	44.19	57.77
DDSHXX517151603	2	16	172	1	DDSHXX516067004	1.85	159.9	707.63	10.11	47.73	58.93
DDSHXX517215106	3	15	172	2	DDSHXX515274604	1.7	191.86	590.53	11.51	53.57	60.73
DDSHXX518207501	3	15	182	1	DDSHXX516253504	2.6	186.38	603.07	7.14	49.58	60.69
DDSHXX515080602	4	9	151	2	DDUSACS13001401	1.76	167.78	674.93	16.12	37.11	52.66
DDSHXX515161902	1	18	152	2	DDSHXX514078704	1.5	171.99	659.92	14.39	49.67	58.19
DDSHXX515189512	1	17	152	2	DDSHXX514080506	1.16	218.05	522.08	14.7	36.95	53.09
DDSHXX517015204	3	18	174	2	DDSHXX515041202	1.3	203.95	557.49	9.11	44.39	57.97
DDSHXX513017104	1	11	134	2	DDUSACS13000706	1.06	166.93	682.56	11.95	46.67	57.87
DDSHXX517269003	2	16	173	1	DDSHXX516141608	1.6	170.29	665.92	9.94	43.93	57.49
DDSHXX515154508	1	11	152	2	DDSHXX514078606	1.8	173.97	650.69	12.26	43.09	56.35
DDSHXX517048103	2	17	174	1	DDSHXX515228304	1.65	195.19	580.72	12.08	43.14	56.44
DDSHXX517239605	2	11	173	1	DDSHXX516097802	1.4	187.59	605.58	11.27	40.66	55.75
DDSHXX517246008	2	11	173	2	DDSHXX516137002	1.75	178.9	633.04	11.65	43.16	56.59
DDSHXX515176502	1	18	152	2	DDSHXX514079814	2.5	188.47	596.91	16.44	49.2	57.29
DDSHXX516269201	2	15	163	1	DDSHXX515162012	2.05	160.96	701.73	12.18	45.73	57.42
DDSHXX517074609	1	13	171	1	DDSHXX516091104	1.2	174.38	652.6	11.96	45.83	57.53
DDSHXX518150602	1	18	182	2	DDSHXX517158704	1.8	187.75	602.93	12.92	47.45	57.84
DDSHXX518113006	1	15	181	2	DDSHXX517116804	1.35	195.04	582.7	11.52	47.98	58.53
DDSHXX518090001	3	14	181	1	DDSHXX516162106	1.65	169.77	667.67	14.97	35.38	52.38
DDSHXX518018703	5	12	184	1	DDSHXX515161804	2.1	184.98	610.34	13.95	45.76	56.81
DDSHXX516120110	1	17	161	2	DDSHXX515120502	1.55	179.45	632.21	13.65	41.43	55.22
DDSHXX517102404	4	12	171	2	DDSHXX515002206	1.65	168.96	670.87	10.27	49.05	59.39
DDSHXX617105604	3	9	171	2	DDSHXX515169504	1.6	172.84	656.1	10.37	43.06	57
DDSHXX515232604	2	13	153	2	DDSHXX514068710	1.56	175.91	644.88	15.85	46.95	56.62
DDSHXX518127909	4	11	181	1	DDSHXX516099204	1.5	215.98	525.51	12.87	50.95	59.23
DDSHXX516189503	2	11	162	1	DDSHXX515050902	2	183.27	616.58	10.46	38.71	55.26
DDSHXX515257002	3	11	153	2	DDSHXX513004602	1.72	184.67	613.42	11.58	49.23	59
DDSHXX517049906	1	17	174	2	DDSHXX516078304	1.6	183.35	618.49	13.18	48.76	58.26
DDSHXX518096211	2	14	181	1	DDSHXX516285406	1.15	207.79	547.91	11.02	40.3	55.69
DDSHXX516232905	2	17	163	1	DDSHXX515128806	1.85	159.73	708.38	11.87	48.47	58.6
DDSHXX517069302	1	14	171	2	DDSHXX516072806	1.4	207.95	546.29	11.86	42.5	56.26
DDSHXX518200515	4	14	182	1	DDSHXX516125304	2.1	177.36	636.56	9.44	45.82	58.41
DDSHXX516080203	2	12	161	1	DDSHXX514127504	1.84	179.96	628.81	16.4	50.14	57.68
DDSHXX513029105	1	13	134	1	DDUSWFD13020506	1.62	203.72	556.55	8.34	38.41	55.89
DDSHXX518151902	4	18	182	2	DDSHXX516107702	1.65	169.81	667.51	13.78	53.96	60.09
DDSHXX517302003	2	14	174	1	DDSHXX516178104	1.6	179.3	632.46	9.51	43.61	57.52
DDSHXX516063505	3	13	161	1	DDSHXX514067206	1	200.94	567.33	16.02	36.99	52.64
DDSHXX517194102	2	13	172	2	DDSHXX516083012	1.75	173.4	653.11	12.17	54.88	61.02
DDSHXX514190803	1	13	144	1	DDSHXX513004602	1.66	173.02	655.07	11.22	40.07	55.53
DDSHXX515162014	1	18	152	2	DDSHXX514076308	1.1	195.26	583.32	11.11	53.47	60.83
DDSHXX518239103	1	11	183	1	DDSHXX517268704	1.75	173.66	652.14	12.38	45.66	57.32
DDSHXX517291602	2	14	173	2	DDSHXX516177002	1.35	228.87	496.57	12.41	45.32	57.18
DDSHXX514049107	2	10	141	1	DDUSWFD13000905	1.64	182.25	622	14.77	44.01	55.84
DDSHXX515202305	2	17	153	1	DDSHXX514042106	1.48	183.37	619.08	11.93	36.94	54.05
DDSHXX517268002	3	16	173	2	DDSHXX516041208	1.8	188.49	600.56	11.94	43.38	56.58
DDSHXX518129115	3	12	181	1	DDSHXX516212102	2	160.26	705.1	11.14	43.64	56.96
DDSHXX518166901	1	16	182	1	DDSHXX517163416	1.8	192.64	587.62	8.23	40.61	56.79
DDSHXX516261902	1	13	163	2	DDSHXX515273104	1.3	196.59	578.36	17	46.3	55.96
DDSHXX516123303	6	17	161	1	DDUSWFD12022804	1.95	170.7	662.27	13.07	46.88	57.56
DDSHXX518232009	3	13	183	1	DDSHXX516271208	1.75	164.63	687.91	13.29	44.73	56.64
DDSHXX518138106	1	11	182	2	DDSHXX517131904	1.55	187.84	603.97	11.73	47.26	58.18
DDSHXX516126508	1	17	162	2	DDSHXX515154804	1.3	187.09	607.73	13.07	45.71	57.1
DDSHXX514064303	2	16	142	1	DDUSACS13000406	1.5	176.81	641.93	15.02	46.78	56.84
DDSHXX517157702	1	17	172	2	DDSHXX516142204	1.8	192.65	587.59	16.7	41.65	54.24
DDSHXX515208101	1	15	153	1	DDSHXX514095008	1.64	171.16	662.3	14.58	44.78	56.21
DDSHXX518240911	1	11	183	1	DDSHXX517266308	1.85	168.17	672.83	9.17	44.74	58.08
DDSHXX516281610	3	12	164	2	DDSHXX514190704	1.5	225.32	503.73	12.25	47.33	58.02
DDSHXX517070708	5	14	171	2	DDSHXX514061802	1.15	204.29	557.3	12.96	44.11	56.51
DDSHXX516201302	5	11	162	2	DDSHXX513011214	1.75	171.66	659.73	13.21	48.9	58.3
DDSHXX516187602	1	11	162	2	DDSHXX515170610	1.8	200.11	565.69	10.22	42.52	56.84
DDSHXX516172201	1	12	162	1	DDSHXX515155204	2.05	165.32	683.22	11.26	43.51	56.87
DDSHXX516145508	4	14	162	2	DDSHXX514059006	1.45	175.82	645.83	9.42	38.69	55.62
DDSHXX518134504	3	11	182	2	DDSHXX516186106	1.6	204.94	553.33	9.26	41.31	56.7
DDSHXX518019210	2	11	184	2	DDSHXX516148602	1.25	230.72	493.02	12.2	38.87	54.72
